Base Scenario

Inputs
"class_dist,home_access_dist,home_power_dist,pev_dist,pref_dist,work_power_dist,res_charging,work_charging,temp_c,mean_dvmt,fleet_size,format"
"Sedan,HA100,Equal,EQUAL,Home100,MostL2,min_delay,min_delay,10,35,1000,json"

Weekday Load Profile
home_l1
"282.1,277.94,269.55,257.42,247.19,239.57,227.59,220.32,215.33,206.76,195.47,179.61,171.6,161.61,154.04,146.05,136.16,123.04,114.6,111.73,99.62,94.29,85.74,76.66,65.41,57.2,51.62,46.75,43.85,45.08,39.09,33.67,30.93,30.88,32.97,30.03,28.69,29.48,32.12,33.87,32.37,32.76,32.47,33.89,37.92,36.9,35.72,38.32,38.37,45.11,48.66,55.45,60.04,63.59,69.07,71.97,74.56,80.36,93.67,99.18,104.91,107.99,120.54,142.8,157.53,170.6,198.98,212.06,237.89,255.6,264.84,285.27,306.88,311.17,312.02,313.7,312.63,319.71,315.53,320.68,334.33,341.32,347.9,344.06,332.95,338.8,345.63,348.35,343.68,344.36,339.04,333.76,332.54,320.17,306.92,297.81"
home_l2
"237.77,195.57,160.15,127.44,113.19,102.73,95.17,89.65,70.51,58.34,54,46.73,34.33,24.58,20.52,12.6,5.34,0,0,2.4,3.6,3.6,3.6,3.6,3.6,3.6,3.6,7.2,17.15,10.8,12,20.22,28.76,25.12,19.63,26.3,17.83,28.03,39.6,45.8,39.86,34.2,40.94,44.18,48.35,66.38,70.31,59.36,56.17,72.38,81.32,65.86,86.99,104.2,123.16,128.5,151.81,168.82,195.41,190.53,209.5,243.72,262.76,267.13,291.18,303.24,302.44,273.56,347.51,400.32,433.71,545.07,591.1,598.8,632.41,631.91,649.41,639.25,632.28,586.46,593.04,588.27,570.94,581.97,609.34,611.77,604.2,561.12,519.02,520.07,497.55,443.15,387.08,349.19,317.48,264.92"
work_l1
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.4,4.67,7.47,8.4,11.67,12.02,12.6,13.53,15.4,15.4,16.8,16.8,16.8,16.8,18.2,18.2,17.91,18.2,18.9,18.2,18.2,18.2,17.8,16.8,17.27,16.85,16.8,15.91,19.13,18.32,17.42,15.28,13.07,13.53,14.32,12.6,11.67,11.2,11.2,9.42,8.4,8.4,7.85,7,3.27,1.61,1.4,1.4,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
work_l2
"7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,1.77,0,0,0,0,0,0,0,6.6,6.6,13.2,18.04,40,45.39,61.04,67.74,100.89,109.8,143.57,174.91,231.95,235.58,241.21,232.24,232.08,236.99,225.29,194.14,169.44,134.24,104.21,99.33,94.62,89.27,64.7,59.11,60.6,60.73,53.67,40.29,36.81,42.31,36,31.88,25.6,36.2,43.08,39.26,48.17,48,41.95,33.24,30.88,29.6,27,27,23.88,31.2,37.2,31.94,27,25.89,24.94,18.9,16.8,16.8,16.8,16.8,18,9.39,3.69,3.6,3.6,3.6,3.6,3.6,3.6,7.2,7.2,11.6,11.61,7.2,7.2,7.2"
public_l2
"6.43,3.6,3.6,3.6,0,0,0,0,0,6.6,6.6,7.08,10.2,4.85,0,0,0,0,0,0,3.6,8,10.2,10.2,13.8,16.2,18.12,21.25,23.2,26,33.04,26.76,41.24,42.6,64.69,62.61,65.18,72.6,68,81.43,96.16,109.04,112.81,115.43,109.89,107.88,121.63,126.58,111.44,104.76,99.83,86.33,81.4,88.56,91.76,91.72,125.13,118.76,98.36,81.22,72.9,97.48,107.88,104.77,91.02,65.94,57.82,56.97,78.12,99.08,110.72,118.33,131.99,127.8,132.88,144.1,150.98,152.28,149.93,127.04,109.7,115.88,93.21,88.49,79,49.49,37.63,27.83,27.7,25.2,25.2,25.16,19.4,17.6,10.34,7.2"
public_l3
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.51,9.53,0,22.11,22.3,0,0,0,0,0,0,0,0,0,0,0,50,26.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Weekend Load Profile
home_l1
"259.85,258.12,258.76,247.87,232.81,222.66,217.54,205.81,199.23,194.35,185.39,182.49,175.26,167.21,160.2,153.88,146.96,138.58,134.4,129.59,120.28,115.2,107.21,95.61,88.37,85.66,82.24,76.14,71.43,70.64,66.96,64.22,59.98,55.24,54.01,53.32,45.35,47.13,44.04,44.34,44.43,48.71,45.01,41.34,51.65,54.17,55.29,56.25,62.26,76.07,92.12,106.72,112.26,113.38,119.91,122.4,128.37,131.49,140.11,147.4,157.4,154.27,161.38,176.26,192.26,203.7,217.16,215.98,219.3,218.98,215.94,214.48,222.73,231.14,224.65,237.53,236.05,237.72,244.49,251.3,261.29,272.18,278.41,281.41,281.8,281.4,283.96,284.93,293.24,296.01,293.1,285.19,280.88,280.85,282.84,276.98"
home_l2
"282.84,235.43,209.01,189.36,141.06,113.68,122.23,112.64,91.82,87.31,76.38,71.95,64.3,53.35,41.62,20.21,22.8,28.11,10.87,4.05,3.6,3.6,7.2,7.2,7.2,7.2,4.3,0.49,0,0,5.4,16.2,21.8,25.07,34.8,37.8,44.36,52.2,43.94,32.47,38.22,45.41,50.18,54.84,65.65,63.35,86.88,75.35,73.16,84.93,100.56,86.54,139.31,148.09,148.58,177.62,207.77,218,247.27,254.59,232.25,239.39,248.05,249.26,290.03,358.87,389.71,357.11,384.22,346.33,328.94,382.94,422.84,427.76,431.52,431.65,462.81,465.63,459.98,419.83,457.64,493.73,458.4,422.09,433.76,447.28,429.64,459.75,533.09,478.7,430.27,385.5,360.24,354.18,346.22,321.32"
work_l1
"1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2.76,1.4,1.4,1.4,1.4,1.87,2.8,2.8,2.8,2.8,2.8,2.8,3.73,4.2,4.2,5.6,5.6,5.6,5.6,5.6,5.09,4.2,4.2,5.13,5.6,5.6,5.6,5.6,5.6,5.6,7,7,7,6.51,5.6,5.6,5.6,4.2,2.84,2.8,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,5.6,5.6,5.6,5.6,5.42,4.2,4.2,5.6,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,3.74,2.74,1.4,0.91,0,0,0,0.93,1.4,1.4,1.4,1.4"
work_l2
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,10.8,10.8,10.8,10.8,10.8,24,27.78,21.33,23.89,31.64,35.11,30.87,28.26,27.6,43.08,44.4,48,49.29,48,46.5,38.4,38.4,32.82,29.52,31.64,22.77,21,14.97,13.8,14.05,9.62,10.8,10.8,7.42,7.2,7.2,7.2,7.2,7.2,7.2,9.6,16.96,23.4,24.6,21.32,18.78,17.4,17.4,21,18.82,17.4,13.09,7.2,6.92,3.6,3.6,3.6,2.84,0.72,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,10.2,10.2,10.2,9.62,0.23,0,0,0,0,0"
public_l2
"51.6,44.29,40.79,32.28,20.34,10.8,8.16,7.2,4.66,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,0.92,10.2,9.55,7.8,10.2,20.4,15.14,27,41.6,47.12,49.35,45.43,56.25,75.2,87.71,81.21,87.39,106.38,121.25,137.58,147.56,147.43,146.57,138.39,146.41,155.61,170.21,207.97,207.75,202.56,202.41,195.13,203.53,209.96,205,161.29,154.97,152.11,169.36,150.43,151.6,135.55,162,183.28,197.93,197.63,194.88,169.02,158.22,159.28,181.25,172,184.66,190.16,186.83,182.07,187.48,171.32,168.85,155.35,147.25,110.95,109.53,105.92,92.94,75.51,73.8,64.21,53.52,55.2,57.4,53.12,51.6"
public_l3
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.51,31.23,20.5,20.5,20.5,20.5,4.69,0,0,0,0,6.84,20.5,53.82,70.52,43.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
